model,kind,d,delta,delta_sd,null_mean,null_sd,excess,time_s
gpt2,causal,768,0.1307896645749767,0.0070166464259227,0.0831075411102468,0.0020282081619751,0.0476821234647298,28.40505528450012
gpt2_m,causal,1024,0.090513780324955,0.0041786985325349,0.1031176292234852,0.0022210310528664,-0.0126038488985302,38.80562901496887
gpt2_l,causal,1280,0.0949396753861243,0.0036984988041533,0.1288415409181009,0.0057264086312427,-0.0339018655319765,306.79625153541565
gpt2_xl,causal,1600,0.0829985140417464,0.0053229553107226,0.1307191753016641,0.0071327141782712,-0.0477206612599176,539.7207341194153
pythia_410m,causal,1024,0.098303695069563,0.0050418697723284,0.1355126583868416,0.0047644342601634,-0.0372089633172785,103.7054352760315
pythia_1b,causal,2048,0.0962161752415511,0.0038724106336989,0.1314490638767186,0.0041593709643115,-0.0352328886351674,255.71004676818848
pythia_2b8,causal,2560,0.0980851161311244,0.0044575741390657,0.1388983815781829,0.0076398566004963,-0.0408132654470584,528.5178558826447
olmo_1b,causal,2048,0.1000809639318928,0.0049665197804341,0.1009345357309353,0.0020034881509933,-0.0008535717990425,431.6779675483704
bge_base,embed,768,0.12131532899589068,0.005741490001610022,0.1166384177156955,0.0051732253434828325,0.004676911280195178,7.51343560218811
bge_large,embed,1024,0.1205141600316229,0.007566504807509337,0.11976666050791081,0.0030199179982113595,0.0007474995237120863,79.61689615249634
gte_base,embed,768,0.12421470801251475,0.010928127873400407,0.11337354421880197,0.0034594499002862243,0.010841163793712777,2.6019396781921387
gte_large,embed,1024,0.12026735115087665,0.011560449940214546,0.11584288076245071,0.0028420305984616584,0.004424470388425944,62.96166396141052
gte_qwen2,embed,1536,0.10711601156455394,0.004142017259820061,0.1259493346781502,0.004355151013063806,-0.018833323113596256,506.00933957099915
e5_base,embed,768,0.11521564056015812,0.007467592808843645,0.11246915906102861,0.005391928125036171,0.0027464814991295106,2.5447330474853516
e5_large,embed,1024,0.11386098218967981,0.009794382655679917,0.11320715754279892,0.0027597589240753993,0.0006538246468808934,82.78162741661072
